@relation ecoli-weka.filters.unsupervised.instance.MyBinaryData-S42-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute mcg {0,0.04,0.06,0.07,0.1,0.11,0.12,0.16,0.17,0.18,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.81,0.83,0.84,0.85,0.86,0.87,0.88,0.89}
@attribute gvh {0.16,0.23,0.24,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.78,0.8,0.81,0.82,0.83,0.84,0.86,0.88,0.9,1}
@attribute lip {0.48,1}
@attribute chg {0.5,1}
@attribute aac {0,0.06,0.16,0.17,0.22,0.25,0.27,0.28,0.29,0.3,0.31,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.7,0.71,0.72,0.73,0.74,0.75,0.77,0.79,0.83,0.84,0.86,0.88}
@attribute alm1 {0.03,0.05,0.06,0.11,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.61,0.62,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.94,1}
@attribute alm2 {0,0.01,0.14,0.15,0.16,0.17,0.19,0.2,0.21,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.61,0.62,0.63,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.92,0.94,0.99}
@attribute Class {Yes,No}

@data
0.7,0.39,1,0.5,0.51,0.82,0.84,No
0.26,0.26,0.48,0.5,0.34,0.25,0.35,No
0.65,0.47,0.48,0.5,0.59,0.3,0.4,No
0.34,0.33,0.48,0.5,0.38,0.35,0.44,No
0.56,0.51,0.48,0.5,0.34,0.37,0.46,No
0.36,0.47,0.48,0.5,0.51,0.69,0.72,Yes
0.38,0.3,0.48,0.5,0.43,0.29,0.39,No
0.65,0.51,0.48,0.5,0.66,0.54,0.33,No
0.48,0.41,0.48,0.5,0.51,0.9,0.88,Yes
0.64,0.45,0.48,0.5,0.67,0.61,0.66,No
0.22,0.34,0.48,0.5,0.42,0.29,0.39,No
0.24,0.43,0.48,0.5,0.54,0.52,0.59,No
0.41,0.43,0.48,0.5,0.5,0.24,0.25,No
0.17,0.52,0.48,0.5,0.49,0.37,0.46,No
0.68,0.49,1,0.5,0.62,0.55,0.28,No
0.56,0.54,0.48,0.5,0.43,0.37,0.3,No
0.33,0.56,0.48,0.5,0.33,0.78,0.8,Yes
0.23,0.33,0.48,0.5,0.43,0.33,0.43,No
0.64,0.81,0.48,0.5,0.37,0.39,0.44,No
0.26,0.5,0.48,0.5,0.44,0.32,0.41,No
0.41,0.51,0.48,0.5,0.53,0.75,0.78,Yes
0.78,0.44,0.48,0.5,0.45,0.73,0.68,No
0.33,0.47,0.48,0.5,0.53,0.18,0.29,No
0.61,0.47,0.48,0.5,0,0.8,0.32,Yes
0.63,0.54,0.48,0.5,0.65,0.79,0.81,Yes
0.75,0.55,1,1,0.4,0.47,0.3,No
0.79,0.54,0.48,0.5,0.5,0.66,0.68,No
0.34,0.67,0.48,0.5,0.52,0.76,0.79,Yes
0.21,0.51,0.48,0.5,0.5,0.32,0.41,No
0.67,0.84,0.48,0.5,0.74,0.54,0.37,No
0.46,0.61,0.48,0.5,0.48,0.86,0.87,Yes
0.69,0.43,0.48,0.5,0.59,0.74,0.77,No
0.78,0.68,0.48,0.5,0.83,0.4,0.29,No
0,0.51,0.48,0.5,0.35,0.67,0.44,Yes
0.84,0.44,0.48,0.5,0.48,0.71,0.74,Yes
0.3,0.37,0.48,0.5,0.59,0.41,0.49,No
0.83,0.48,0.48,0.5,0.65,0.76,0.79,No
0.39,0.31,0.48,0.5,0.38,0.34,0.43,No
0.23,0.32,0.48,0.5,0.55,0.25,0.35,No
0.33,0.45,0.48,0.5,0.52,0.32,0.41,No
0.59,0.49,0.48,0.5,0.52,0.45,0.36,No
0.25,0.48,0.48,0.5,0.44,0.17,0.29,No
0.44,0.49,0.48,0.5,0.39,0.38,0.4,No
0.36,0.54,0.48,0.5,0.41,0.38,0.46,No
0.64,0.76,0.48,0.5,0.45,0.35,0.38,No
0.6,0.61,0.48,0.5,0.54,0.67,0.71,Yes
0.84,0.54,0.48,0.5,0.75,0.92,0.7,No
0.7,0.61,0.48,0.5,0.56,0.52,0.43,No
0.22,0.43,0.48,0.5,0.48,0.16,0.28,No
0.18,0.3,0.48,0.5,0.46,0.24,0.35,No
0.86,0.55,0.48,0.5,0.63,0.81,0.83,No
0.74,0.82,0.48,0.5,0.49,0.49,0.41,No
0.48,0.49,0.48,0.5,0.52,0.77,0.71,Yes
