@relation glass-0-1-4-6_vs_2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute RI {1.511309,1.512152,1.513155,1.5132,1.514089,1.515091,1.515137,1.515319,1.515455,1.515569,1.51566,1.515683,1.515706,1.515729,1.515888,1.515911,1.515934,1.515957,1.516025,1.516048,1.516093,1.516139,1.516162,1.516184,1.51623,1.516253,1.516276,1.516298,1.516321,1.516389,1.516435,1.516458,1.516503,1.516526,1.516549,1.516572,1.516594,1.516617,1.51664,1.516663,1.516708,1.516731,1.516822,1.516845,1.516868,1.516891,1.516936,1.517073,1.517096,1.517118,1.517187,1.517209,1.517278,1.517301,1.517323,1.517346,1.517369,1.517415,1.517437,1.51746,1.517483,1.517506,1.517528,1.517551,1.51762,1.517642,1.517665,1.517688,1.517756,1.517779,1.517825,1.517847,1.51787,1.517893,1.517938,1.517961,1.518007,1.518052,1.518075,1.518121,1.518189,1.518235,1.51828,1.518303,1.518326,1.518371,1.518394,1.518417,1.51844,1.518462,1.518485,1.518508,1.518599,1.51869,1.518713,1.518918,1.518986,1.519009,1.519055,1.5191,1.519146,1.519191,1.51926,1.519351,1.51967,1.519692,1.519761,1.519943,1.520194,1.520421,1.520581,1.520649,1.520672,1.520809,1.520991,1.521014,1.521196,1.521219,1.521264,1.521515,1.52172,1.521765,1.52197,1.522107,1.52213,1.522221,1.522267,1.522472,1.522996,1.523155,1.523201,1.523656,1.523679,1.524089,1.52475,1.526139,1.52664,1.526663,1.527255,1.527392,1.527779,1.531242,1.53393}
@attribute Na {10.73,11.0226,11.02925,11.22875,11.4482,11.56125,11.94695,12.15975,12.19965,12.2994,12.3526,12.45235,12.5521,12.55875,12.57205,12.61195,12.6186,12.63855,12.65185,12.6718,12.67845,12.69175,12.7117,12.71835,12.73165,12.7383,12.7516,12.7782,12.7915,12.79815,12.81145,12.8181,12.83805,12.85135,12.858,12.8713,12.87795,12.89125,12.8979,12.93115,12.9378,12.95775,12.97105,12.9777,12.991,12.99765,13.01095,13.0176,13.03755,13.05085,13.09075,13.0974,13.11735,13.1373,13.1506,13.1905,13.19715,13.21045,13.2304,13.23705,13.25035,13.2703,13.29025,13.2969,13.3102,13.33015,13.3368,13.35675,13.3767,13.39,13.4033,13.40995,13.42325,13.4299,13.4432,13.46315,13.4831,13.48975,13.50305,13.5097,13.52965,13.5496,13.5629,13.58285,13.6028,13.6427,13.64935,13.68925,13.70255,13.7092,13.7225,13.72915,13.7491,13.7745,13.78235,13.8023,13.80895,13.8289,13.8688,13.8821,13.88875,13.90205,13.922,13.98185,13.9885,14.00845,14.0284,14.14145,14.16805,14.188,14.2013,14.20795,14.2279,14.24785,14.321,14.3609,14.36755,14.38085,14.3875,14.417,14.4274,14.5604,14.70005,14.75325,14.7732,14.7998,14.853,14.85965,14.9195,14.93945,14.95275,15.126,15.15225,15.79065}
@attribute Mg {0,0.32777,1.01025,1.35149,1.61191,1.71069,1.77804,1.83192,1.84988,1.88131,2.08785,2.2001,2.28092,2.68053,2.71196,2.72094,2.76135,2.81074,2.84217,2.85115,2.86911,2.87809,2.90054,2.95891,3.08912,3.15198,3.17892,3.20137,3.25076,3.25974,3.33158,3.34056,3.34954,3.35852,3.37199,3.38995,3.39893,3.40791,3.42138,3.43036,3.43934,3.44832,3.46179,3.47077,3.47975,3.48873,3.5022,3.51118,3.52016,3.52914,3.53812,3.55159,3.56057,3.56955,3.57853,3.592,3.60098,3.60996,3.61894,3.62792,3.64139,3.65037,3.65935,3.66833,3.6818,3.69078,3.69976,3.72221,3.73119,3.74017,3.74915,3.75813,3.7716,3.78058,3.79854,3.81201,3.82099,3.82997,3.83895,3.84793,3.8614,3.87038,3.88834,3.90181,3.92875,3.96916,3.97814,4.49}
@attribute Al {0.29,0.46976,0.51149,0.55964,0.5789,0.64952,0.65915,0.66878,0.71051,0.72014,0.74903,0.7715,0.78113,0.79076,0.81965,0.82928,0.87101,0.88064,0.89027,0.8999,0.90953,0.99941,1.05077,1.0604,1.07003,1.07966,1.09892,1.10855,1.12139,1.14065,1.15028,1.15991,1.16954,1.17917,1.1888,1.19843,1.21127,1.2209,1.23053,1.24016,1.24979,1.25942,1.26905,1.27868,1.29152,1.30115,1.31078,1.32041,1.33004,1.33967,1.3493,1.35893,1.36856,1.3814,1.40066,1.41029,1.42955,1.43918,1.44881,1.47128,1.48091,1.49054,1.5098,1.51943,1.52906,1.53869,1.55153,1.56116,1.57079,1.58042,1.60931,1.61894,1.62857,1.64141,1.65104,1.6703,1.68956,1.70882,1.74092,1.76018,1.78907,1.7987,1.81154,1.82117,1.8308,1.85969,1.86932,1.87895,1.90142,1.93994,1.97846,1.9913,2.00093,2.02019,2.05871,2.08118,2.10044,2.1197,2.17106,2.21921,2.25131,2.27057,2.34119,2.37971,2.42144,2.51132,2.54021,2.65898,2.68145,2.73923,2.79059,2.88047,3.0185,3.04097,3.5}
@attribute Si {69.81,69.8884,70.1628,70.258,70.4316,70.482,70.5716,70.7004,71.1484,71.238,71.2492,71.35,71.3612,71.5012,71.5684,71.7196,71.7476,71.7588,71.77,71.7812,71.7924,71.8092,71.8708,71.938,71.9492,71.9604,71.9884,72.0108,72.022,72.0388,72.0612,72.078,72.1228,72.1396,72.1788,72.19,72.2012,72.218,72.2516,72.2628,72.2796,72.3188,72.33,72.3412,72.358,72.3804,72.3916,72.4028,72.442,72.4476,72.4812,72.4924,72.5092,72.5204,72.5316,72.5428,72.5484,72.5708,72.61,72.638,72.6492,72.6604,72.6716,72.6884,72.6996,72.722,72.7276,72.7388,72.75,72.7612,72.7724,72.778,72.7892,72.8116,72.8284,72.8396,72.8508,72.862,72.8676,72.8788,72.89,72.918,72.9516,72.9572,72.9684,72.9796,72.9908,73.002,73.0076,73.0188,73.03,73.0412,73.0524,73.0692,73.0804,73.0916,73.0972,73.1084,73.1196,73.142,73.1476,73.17,73.198,73.2092,73.2316,73.2372,73.2484,73.2596,73.2708,73.282,73.2876,73.2988,73.3604,73.3884,73.422,73.4388,73.4612,73.5004,73.5508,73.58,73.6124,73.702,73.7188,73.7524,73.8084,73.8812,74.4524,75.1804}
@attribute K {0,0.01863,0.03105,0.03726,0.04968,0.0621,0.06831,0.08073,0.08694,0.09936,0.11178,0.11799,0.13041,0.14283,0.14904,0.16146,0.16767,0.18009,0.19251,0.22977,0.3105,0.32292,0.32913,0.34776,0.3726,0.37881,0.39123,0.44091,0.44712,0.47196,0.47817,0.49059,0.50301,0.50922,0.52164,0.52785,0.54027,0.55269,0.5589,0.57132,0.57753,0.58995,0.60237,0.60858,0.621,0.62721,0.63963,0.65205,0.65826,0.67068,0.6831,0.68931,0.70173,0.72036,0.73278,0.75762,0.8073,0.96876,1.09917,1.40967,1.45935,1.68291,1.75743,2.70135,6.21}
@attribute Ca {5.43,5.78508,5.87116,6.47372,6.92564,6.95792,7.07628,7.35604,7.77568,7.82948,7.86176,7.88328,7.89404,7.9048,7.93708,7.9586,7.96936,7.99088,8.03392,8.04468,8.0662,8.07696,8.08772,8.09848,8.10924,8.12,8.15228,8.1738,8.18456,8.20608,8.21684,8.2276,8.23836,8.27064,8.2814,8.30292,8.31368,8.32444,8.3352,8.34596,8.37824,8.389,8.39976,8.41052,8.42128,8.43204,8.4428,8.47508,8.48584,8.4966,8.51812,8.52888,8.53964,8.5504,8.56116,8.57192,8.58268,8.59344,8.6042,8.61496,8.63648,8.64724,8.66876,8.67952,8.69028,8.70104,8.7118,8.75484,8.7656,8.77636,8.78712,8.80864,8.83016,8.89472,8.90548,8.927,8.94852,8.95928,8.99156,9.00232,9.02384,9.0346,9.04536,9.05612,9.06688,9.07764,9.13144,9.1422,9.15296,9.18524,9.22828,9.40044,9.4112,9.42196,9.45424,9.48652,9.54032,9.5726,9.60488,9.64792,9.69096,9.70172,9.74476,9.75552,9.82008,9.85236,10.08908,10.17516,10.2452,10.56252,10.568,10.78848,10.99292,11.14356,11.27268,11.31572,11.41256,11.52016,11.53092,11.617,11.63852,12.24108,12.49932,13.24176,13.29556,13.43544,14.40384,14.6836,14.96336,16.19}
@attribute Ba {0,0.09135,0.11025,0.1386,0.1512,0.2394,0.2709,0.40005,0.5292,0.53865,0.5607,0.5985,0.6111,0.63,0.63945,0.6615,0.67095,0.68985,0.75915,0.80955,1.06155,1.1907,1.3797,1.5498,1.5687,1.59075,1.62855,1.64115,1.6695,1.67895,1.71045,2.1987,2.8791,3.15}
@attribute Fe {0,0.0051,0.0153,0.0255,0.0306,0.0357,0.0408,0.051,0.0561,0.0612,0.0714,0.0765,0.0816,0.0867,0.0969,0.102,0.1071,0.1122,0.1224,0.1275,0.1326,0.1428,0.1479,0.153,0.1581,0.1632,0.1734,0.1785,0.1887,0.2601,0.459,0.51}
@attribute typeGlass {positive,negative}

@data
1.515888,12.87795,3.43036,1.40066,73.282,0.68931,8.04468,0,0.1224,negative
1.517642,12.9777,3.53812,1.21127,73.002,0.65205,8.52888,0,0,negative
1.52213,14.20795,3.82099,0.46976,71.77,0.11178,9.5726,0,0,negative
1.522221,13.21045,3.7716,0.79076,71.9884,0.13041,10.2452,0,0,negative
1.517551,13.39,3.65935,1.1888,72.7892,0.57132,8.27064,0,0.0561,negative
1.520991,13.68925,3.592,1.12139,71.9604,0.08694,9.40044,0,0,negative
1.517551,13.1506,3.60996,1.05077,73.2372,0.57132,8.23836,0,0,negative
1.5191,13.90205,3.73119,1.17917,72.1228,0.0621,8.89472,0,0,negative
1.517938,13.21045,3.47975,1.41029,72.638,0.58995,8.43204,0,0,negative
1.518986,13.58285,3.34954,1.23053,72.078,0.58995,8.90548,0,0,negative
1.512152,12.991,3.47077,1.12139,72.9796,0.621,8.34596,0,0.1581,negative
1.519761,13.80895,3.57853,1.32041,71.7196,0.11799,8.66876,0.68985,0,negative
1.51762,13.88875,3.60098,1.35893,72.7276,0.47817,7.82948,0,0,negative
1.517847,12.67845,3.66833,1.15991,73.1084,0.60858,8.70104,0,0,negative
1.517209,13.3767,3.5022,1.15028,72.8508,0.50301,8.43204,0,0,negative
1.51746,12.83805,3.5022,1.14065,73.2708,0.5589,8.5504,0,0,negative
1.522107,13.72915,3.83895,0.72014,71.7588,0.16767,9.74476,0,0,negative
1.518235,12.8713,3.47975,1.29152,72.9516,0.60237,8.43204,0,0,negative
1.519191,14.417,3.57853,1.36856,72.078,0.5589,8.30292,0,0,negative
1.51762,12.79815,3.65935,1.26905,73.0076,0.60237,8.56116,0,0,negative
1.517506,12.81145,3.56955,1.3493,73.0188,0.621,8.59344,0,0,negative
1.517825,12.69175,3.53812,1.33967,72.9516,0.57132,8.75484,0,0,negative
1.517938,12.7915,3.5022,1.12139,73.03,0.63963,8.7656,0,0,negative
1.518371,13.1373,2.84217,1.27868,72.8508,0.55269,9.06688,0,0,negative
1.521515,13.05085,3.65037,0.87101,72.218,0.19251,9.85236,0,0.0867,negative
1.515957,12.7915,3.60996,1.61894,72.9684,0.63963,8.0662,0,0.1326,negative
1.517346,13.0176,3.53812,1.68956,72.7276,0.54027,8.4428,0,0.0357,negative
1.517756,12.85135,3.47975,1.23053,72.9684,0.60858,8.56116,0.09135,0.1122,negative
1.517779,13.21045,3.38995,1.33004,72.7612,0.58995,8.59344,0,0,negative
1.517551,13.4831,3.74017,1.16954,72.9908,0.58995,8.03392,0,0,negative
1.521515,13.05085,3.65037,0.87101,72.3188,0.19251,9.85236,0,0.0867,negative
1.517437,13.2969,3.60098,1.14065,73.0916,0.57753,8.1738,0,0,negative
1.515706,12.71835,3.46179,1.56116,73.198,0.67068,8.08772,0,0.1224,negative
1.517209,12.8713,3.47975,1.33004,73.0412,0.5589,8.43204,0,0,negative
1.5191,13.88875,3.52914,1.32041,71.8092,0.50922,8.77636,0.11025,0,negative
1.51869,13.1905,3.37199,1.17917,72.722,0.57132,8.83016,0,0.0816,negative
1.52172,13.5097,3.8614,0.88064,71.7924,0.22977,9.54032,0,0.0561,negative
1.517551,12.99765,3.60098,1.35893,72.9908,0.57132,8.39976,0,0.0561,negative
1.51762,12.81145,3.53812,1.23053,73.2372,0.57753,8.389,0,0,negative
1.517847,13.7745,3.48873,1.27868,72.862,0.60237,8.48584,0,0,negative
1.517528,12.57205,3.47077,1.3814,73.3884,0.60237,8.5504,0,0.0306,negative
1.51787,12.73165,3.43036,1.1888,72.9516,0.621,8.75484,0,0.153,negative
1.523201,13.7225,3.72221,0.51149,71.7476,0.08694,10.568,0,0.0816,negative
1.522996,13.3102,3.57853,0.81965,71.9884,0.11799,10.17516,0,0.0153,negative
1.521014,13.6427,4.49,1.09892,71.7812,0.0621,8.75484,0,0,negative
1.517506,12.8181,3.55159,1.49054,72.75,0.54027,8.51812,0,0.0969,negative
1.52213,14.20795,3.82099,0.46976,71.77,0.11178,9.5726,0,0,negative
1.526663,13.9885,3.69976,0.71051,71.5684,0.01863,9.82008,0,0.051,negative
1.51926,13.19715,3.33158,1.27868,72.358,0.60237,9.1422,0,0.0561,negative
1.52172,13.4831,3.74017,0.8999,72.0108,0.18009,9.60488,0,0.0357,negative
1.516184,13.52965,3.55159,1.53869,72.9908,0.39123,7.77568,0,0,negative
1.51762,12.61195,3.592,1.31078,73.2876,0.57753,8.4966,0,0,negative
1.517688,12.55875,3.52016,1.42955,73.1476,0.57132,8.53964,0,0,negative
1.517961,12.7383,3.47975,1.3493,72.9572,0.63963,8.67952,0,0,negative
1.518075,13.4299,2.86911,1.1888,72.8396,0.55269,9.0346,0,0,negative
1.521515,13.11735,3.57853,0.8999,72.2012,0.22977,9.82008,0,0.0816,negative
1.517415,13.2703,3.61894,1.24016,73.0804,0.55269,8.0662,0,0,negative
1.517483,12.858,3.56057,1.26905,73.2092,0.54027,8.37824,0,0.0867,negative
1.517369,12.7782,3.61894,1.29152,72.7892,0.58995,8.70104,0,0,negative
1.517688,12.65185,3.56057,1.30115,73.0804,0.60858,8.69028,0,0.0714,negative
1.517551,12.7117,3.42138,1.19843,73.198,0.58995,8.63648,0,0,negative
1.517688,12.45235,2.71196,1.29152,73.702,0.5589,9.05612,0,0.1224,negative
1.519055,13.6028,3.61894,1.10855,72.638,0.14283,8.75484,0,0,negative
1.517665,13.21045,3.69078,1.29152,72.61,0.57132,8.21684,0,0,negative
1.51566,13.29025,3.44832,1.21127,72.7388,0.5589,8.57192,0,0,negative
1.522267,14.16805,3.81201,0.78113,71.35,0,9.69096,0,0,negative
1.51967,14.7732,3.74915,0.29,72.022,0.03105,9.00232,0,0,negative
1.517779,13.21045,2.81074,1.29152,72.9796,0.50922,9.02384,0,0.459,negative
1.52197,14.3609,3.84793,0.89027,71.3612,0.14904,9.15296,0,0,negative
1.519009,13.48975,3.47975,1.3493,71.9492,0.55269,9.00232,0,0,negative
1.516458,13.40995,3.55159,1.24979,72.8116,0.6831,8.09848,0,0,negative
1.516298,12.7117,3.33158,1.49054,73.282,0.67068,8.23836,0,0,negative
1.527255,13.8023,3.15198,0.65915,70.5716,0.08073,11.63852,0,0,negative
1.518918,13.46315,3.82997,1.25942,72.5484,0.57132,8.20608,0,0.0714,negative
1.518713,12.93115,3.65935,1.56116,72.5092,0.57753,8.5504,0,0.0612,negative
1.521765,13.7491,1.01025,1.35893,72.19,0.32913,11.14356,0,0,negative
1.516276,12.99765,3.57853,1.53869,72.8284,0.60858,8.04468,0,0,negative
1.516184,13.01095,3.5022,1.48091,72.89,0.60237,8.12,0,0,negative
1.516048,12.8979,3.43934,1.44881,73.58,0.44091,8.27064,0,0,negative
1.517073,13.7225,3.6818,1.81154,72.0612,0.63963,7.88328,0,0,negative
1.516663,12.9378,3.60996,1.25942,72.75,0.5589,8.6042,0,0,negative
1.526139,13.70255,0,1.35893,71.238,0.19251,13.43544,0,0.051,negative
1.516891,13.33015,3.53812,1.60931,72.5428,0.6831,8.10924,0,0,negative
1.516458,13.4432,3.60996,1.53869,72.3916,0.65826,8.03392,0,0,negative
1.515934,13.25035,3.44832,1.42955,73.17,0.60858,7.86176,0,0,negative
1.517437,12.19965,3.25076,1.15991,73.5508,0.621,8.89472,0,0.1224,negative
1.52475,11.4482,0,1.87895,72.19,0.8073,13.24176,0,0.1734,negative
1.51828,13.23705,3.90181,1.41029,72.33,0.55269,8.31368,0,0.051,negative
1.517893,13.1905,3.90181,1.30115,72.33,0.55269,8.4428,0,0.1428,negative
1.518394,12.85135,3.66833,1.24016,72.5708,0.621,8.67952,0,0.1785,negative
1.515934,13.09075,3.592,1.51943,73.0972,0.67068,7.82948,0,0,negative
1.515934,13.09075,3.52016,1.55153,72.8676,0.6831,8.04468,0,0.459,negative
1.515888,13.11735,3.40791,1.58042,73.2596,0.06831,8.389,0,0.0969,negative
1.518189,12.6186,2.76135,0.82928,73.8084,0.34776,9.42196,0,0.102,negative
1.518462,13.0974,3.96916,1.1888,72.442,0.60237,8.43204,0,0,negative
1.520809,13.78235,2.28092,1.42955,71.9884,0.49059,9.85236,0,0.0867,negative
1.517118,12.89125,3.61894,1.57079,72.9572,0.60858,8.10924,0,0,negative
1.516139,13.922,3.52016,1.24979,72.8788,0.3726,7.93708,0,0.0714,negative
1.515911,12.858,3.52016,2.1197,72.6604,0.68931,7.96936,0,0,negative
1.518417,13.0176,3.61894,1.0604,72.3412,0.63963,9.13144,0,0.0765,negative
1.524089,13.8289,2.90054,1.16954,71.1484,0.08073,10.78848,0,0,negative
1.516526,13.5629,3.56955,1.47128,72.4476,0.63963,7.9586,0,0,negative
1.51844,13.25035,3.75813,1.32041,72.4028,0.57753,8.42128,0,0,negative
1.518121,13.4299,3.97814,1.17917,72.4924,0.57753,8.15228,0,0,negative
