@relation yeast-0-2-5-6_vs_3-7-8-9-weka.filters.supervised.attribute.Discretize-Rfirst-last

@attribute mcg {'\'(-inf-0.675]\'','\'(0.675-inf)\''}
@attribute gvh {'\'(-inf-0.655]\'','\'(0.655-inf)\''}
@attribute alm {'\'(-inf-0.445]\'','\'(0.445-inf)\''}
@attribute mit {'\'All\''}
@attribute erl {'\'All\''}
@attribute pox {'\'(-inf-0.25]\'','\'(0.25-inf)\''}
@attribute vac {'\'All\''}
@attribute nuc {'\'All\''}
@attribute class {positive,negative}

@data
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(0.655-inf)\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(0.655-inf)\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(-inf-0.445]\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(-inf-0.445]\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(-inf-0.445]\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(-inf-0.445]\'','\'All\'','\'All\'','\'(0.25-inf)\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(0.655-inf)\'','\'(-inf-0.445]\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(0.675-inf)\'','\'(0.655-inf)\'','\'(-inf-0.445]\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(0.655-inf)\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(-inf-0.445]\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(0.655-inf)\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(0.675-inf)\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(0.655-inf)\'','\'(-inf-0.445]\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(0.655-inf)\'','\'(-inf-0.445]\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(0.675-inf)\'','\'(-inf-0.655]\'','\'(-inf-0.445]\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(0.675-inf)\'','\'(-inf-0.655]\'','\'(-inf-0.445]\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(-inf-0.445]\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(-inf-0.445]\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(-inf-0.445]\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(-inf-0.445]\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(0.655-inf)\'','\'(-inf-0.445]\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(-inf-0.445]\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(-inf-0.445]\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(-inf-0.445]\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(0.655-inf)\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(0.655-inf)\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(0.675-inf)\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(0.655-inf)\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
'\'(-inf-0.675]\'','\'(-inf-0.655]\'','\'(0.445-inf)\'','\'All\'','\'All\'','\'(-inf-0.25]\'','\'All\'','\'All\'',negative
